,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4
57,0,0,0,0,0,1,1,2,6,2564,489942,2761362,107904,2070,43,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,1,1,2,5,2563,528864,2421166,80815,1403,29,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,1,1,2,4,2563,569960,2103852,60801,992,24,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,1,1,2,4,2562,612756,1812942,45654,671,17,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,1,1,2,4,2562,657672,1550197,34314,497,9,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,1,1,2,4,2561,704509,1317957,25911,336,3,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,1,1,2,4,2561,752961,1114876,19488,226,3,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,1,1,2,4,2560,802664,938016,14610,159,1,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,1,1,2,4,2559,853318,787500,11047,125,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,1,1,2,4,2558,904867,658841,8218,84,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,1,1,2,4,2557,956806,549353,6114,69,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,1,1,2,4,2557,1008641,457559,4612,48,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,1,1,2,4,2557,1059890,380124,3452,27,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,1,1,2,4,2556,1110257,314790,2610,25,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,1,1,2,4,2556,1158661,260594,1886,18,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,1,1,2,4,2553,1204062,215417,1405,11,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,1,1,2,4,2552,1246159,178155,1013,7,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,1,1,2,4,2549,1284292,147084,776,4,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,1,1,2,4,2548,1318675,121648,574,4,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,1,1,2,4,2546,1347964,100467,440,2,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,1,1,2,4,2545,1371353,83098,334,2,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,1,1,2,4,2542,1389678,68509,240,2,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,1,1,2,4,2541,1400733,56428,189,1,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,1,1,2,4,2537,1405954,46520,139,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,1,1,2,4,2536,1404589,38344,109,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,1,1,2,4,2532,1396660,31543,93,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,1,1,2,4,2532,1382952,25960,72,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,1,1,2,4,2530,1362396,21315,51,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,1,1,2,4,2530,1335855,17593,42,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,1,1,2,4,2530,1304539,14454,28,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,1,1,2,4,2528,1268203,11928,23,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,1,1,2,4,2526,1227746,9816,18,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,1,1,2,4,2525,1183094,8112,10,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,1,1,2,4,2523,1136017,6726,9,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,1,1,2,4,2517,1086598,5503,10,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,1,1,2,4,2516,1035036,4515,8,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,1,1,2,4,2516,983388,3746,4,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,1,1,2,4,2516,929889,3112,3,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,1,1,2,4,2511,877268,2552,2,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,1,1,2,4,2510,825409,2096,3,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,1,1,2,4,2507,773882,1715,3,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,1,1,2,4,2504,723981,1404,2,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,1,1,2,4,2501,675424,1130,2,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,1,1,2,4,2500,628285,917,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,1,1,2,4,2494,583983,768,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,1,1,2,4,2492,541550,649,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,1,1,2,4,2491,500906,534,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,1,1,2,4,2489,462535,440,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,1,1,2,4,2486,427175,361,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,1,1,2,4,2485,393954,297,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,1,1,2,4,2484,362427,244,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,1,1,2,4,2482,332721,192,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,1,1,2,4,2481,305203,159,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,1,1,2,4,2477,279489,143,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,1,1,2,4,2477,255588,123,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,1,1,2,4,2477,233379,99,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,1,1,2,4,2469,212940,84,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,1,1,2,4,2469,194623,78,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,1,1,2,4,2466,177649,63,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,1,1,2,4,2463,161958,50,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,1,1,2,4,2462,147589,41,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,1,1,2,4,2459,134421,30,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,1,1,2,4,2456,122373,31,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1,1,2,4,2454,111325,24,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,1,1,2,4,2451,101273,16,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,1,1,2,4,2448,92256,9,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,1,1,2,4,2444,83772,8,0,0,0,0,0,0,0,0,0,0,0,0
